filename,width,height,class,xmin,ymin,xmax,ymax
hello.1cf22337-2ee7-11f0-96f2-6479f0ccb8f1.jpg,640,480,hello,449,211,640,480
hello.1e27d39a-2ee7-11f0-ade7-6479f0ccb8f1.jpg,640,480,hello,389,214,587,477
hello.1f5e22ff-2ee7-11f0-a045-6479f0ccb8f1.jpg,640,480,hello,455,219,640,480
hello.2095bfb7-2ee7-11f0-9926-6479f0ccb8f1.jpg,640,480,hello,383,198,598,472
hello.21cabe4e-2ee7-11f0-81f8-6479f0ccb8f1.jpg,640,480,hello,471,206,640,480
hello.269e3042-2ee7-11f0-a600-6479f0ccb8f1.jpg,640,480,hello,420,155,637,403
iloveyou.3d44b9f5-2ee7-11f0-ba6b-6479f0ccb8f1.jpg,640,480,ILoveYou,273,158,513,468
iloveyou.3e7a850c-2ee7-11f0-a6b2-6479f0ccb8f1.jpg,640,480,ILoveYou,274,170,521,445
iloveyou.3fafb6cc-2ee7-11f0-98df-6479f0ccb8f1.jpg,640,480,ILoveYou,328,148,587,422
iloveyou.40e4de2c-2ee7-11f0-9bea-6479f0ccb8f1.jpg,640,480,ILoveYou,329,147,597,428
iloveyou.45bddfb4-2ee7-11f0-86c3-6479f0ccb8f1.jpg,640,480,ILoveYou,233,263,476,480
iloveyou.46f17dff-2ee7-11f0-a0dc-6479f0ccb8f1.jpg,640,480,ILoveYou,230,255,498,480
no.5ec9471d-2ee7-11f0-bfc3-6479f0ccb8f1.jpg,640,480,No,425,227,602,419
no.5ffd6a06-2ee7-11f0-be6c-6479f0ccb8f1.jpg,640,480,No,426,232,608,418
no.639a79e1-2ee7-11f0-beb1-6479f0ccb8f1.jpg,640,480,No,419,278,594,459
no.64ce6538-2ee7-11f0-bb8c-6479f0ccb8f1.jpg,640,480,No,400,215,580,367
no.686ddcf6-2ee7-11f0-bfaf-6479f0ccb8f1.jpg,640,480,No,421,253,592,434
no.69a3db15-2ee7-11f0-9c42-6479f0ccb8f1.jpg,640,480,No,418,267,587,458
thanks.2c769fb0-2ee7-11f0-882d-6479f0ccb8f1.jpg,640,480,Thanks,48,271,541,480
thanks.2daae3c3-2ee7-11f0-9800-6479f0ccb8f1.jpg,640,480,Thanks,53,257,519,475
thanks.2ee3f6aa-2ee7-11f0-b4b9-6479f0ccb8f1.jpg,640,480,Thanks,28,277,521,480
thanks.314d6a9a-2ee7-11f0-9ffc-6479f0ccb8f1.jpg,640,480,Thanks,33,263,513,478
thanks.33b8b508-2ee7-11f0-8684-6479f0ccb8f1.jpg,640,480,Thanks,31,272,556,477
thanks.34ed8026-2ee7-11f0-ab33-6479f0ccb8f1.jpg,640,480,Thanks,59,257,521,478
yes.4e09ceb6-2ee7-11f0-9147-6479f0ccb8f1.jpg,640,480,Yes,387,258,557,381
yes.4f3e82e2-2ee7-11f0-899d-6479f0ccb8f1.jpg,640,480,Yes,390,300,556,447
yes.51a86a1e-2ee7-11f0-9679-6479f0ccb8f1.jpg,640,480,Yes,396,268,554,418
yes.52dcdb3b-2ee7-11f0-a5e3-6479f0ccb8f1.jpg,640,480,Yes,421,203,562,370
yes.57afa67b-2ee7-11f0-8938-6479f0ccb8f1.jpg,640,480,Yes,393,204,572,354
yes.58e4a98e-2ee7-11f0-bbe9-6479f0ccb8f1.jpg,640,480,Yes,396,259,559,403
